treatment,mean_temp
June,23.17580414
June,24.03646851
June,23.61064911
June,24.29920578
June,22.58279419
June,22.58279419
June,23.49454308
June,24.17633247
June,22.6920433
June,23.64513588
June,22.88809395
June,24.2967186
June,23.39101791
June,24.80573463
June,23.94544792
June,23.3242569
June,22.69947052
June,23.76122284
June,23.73382378
June,23.77817154
June,23.9161377
June,22.70946121
June,23.58839989
June,23.82501793
June,23.88897324
June,23.76122284
June,23.47006416
June,24.31139946
June,23.88897324
June,23.91640854
June,24.17633247
June,23.27960587
June,23.58839989
June,24.17633247
June,24.28941917
June,23.47235489
June,23.56884193
June,22.6920433
June,23.12374496
June,23.07181931
June,22.59015656
June,23.36372757
June,22.90308762
June,23.42804909
June,23.31180382
June,23.7682476
June,23.5759697
June,23.38339043
June,23.20788002
June,23.89880371
June,23.2226963
June,24.95184135
June,23.47235489
June,23.19785881
June,23.81009293
June,23.65511513
June,23.49454308
June,23.28975296
June,24.15185165
June,23.73628807
June,23.91640854
June,23.48479843
June,23.16837883
June,22.58279419
June,23.1831398
June,23.29696083
June,23.82752228
June,23.82501793
June,23.73382378
June,22.58279419
June,22.55778122
June,24.28941917
June,25.41454506
June,22.468153
June,23.76122284
June,23.06442451
June,24.72493362
June,25.11030388
June,22.3808651
June,23.29477692
June,23.45260048
June,23.1831398
June,23.74378395
June,23.32671165
June,25.31951904
June,24.57325172
June,25.2538662
June,23.28474617
June,24.25981331
June,23.81999207
June,25.11030388
June,24.75898933
June,23.79833412
June,23.09657669
June,23.81999207
June,23.84027863
June,23.31433678
June,23.79833412
June,23.29477692
June,23.6157074
June,23.18567467
June,23.15373039
June,22.5179882
June,24.19128227
June,23.20073128
June,23.465065
June,23.37597656
June,24.50258064
June,22.468153
June,23.65005112
June,23.79041481
June,23.09905815
June,23.55383492
June,23.74399948
June,23.06930351
June,23.37878799
June,25.2538662
June,23.18571091
June,23.37597656
June,23.79833412
June,22.83117294
June,23.24512291
June,23.55383492
June,23.61800575
June,23.98496246
June,23.48489952
June,23.84027863
June,23.32180405
June,23.57109833
June,23.8273983
June,23.33909225
June,23.13856888
June,23.26977539
June,23.31426811
June,24.25981331
June,23.20558739
June,22.63996315
June,23.28467178
June,23.26716042
June,24.95439529
June,23.44026375
June,24.5196991
June,25.11030388
June,24.75898933
June,25.26342964
September,23.31916046
September,23.84948921
September,24.04625893
September,23.2598362
September,23.1657486
September,23.19785881
September,23.23272896
September,22.29380226
September,23.0768013
September,23.95777702
September,22.86334991
September,23.31173134
September,24.19128227
September,23.15361977
September,23.17818642
September,23.70432663
September,23.30677605
September,24.03646851
September,23.11884117
September,24.34065819
September,22.84351921
September,23.15366745
September,23.06918144
September,23.2577076
September,23.39092827
September,23.68231201
September,22.70946121
September,22.41082573
September,22.79387283
September,23.45031166
September,22.75902367
September,23.59602356
September,23.19092941
September,22.58259964
September,23.49242783
September,22.50048447
September,22.9502182
September,23.44286537
September,22.79157257
September,22.65976334
September,23.10648918
September,22.98734283
September,23.29459953
September,22.84605217
September,23.15084267
September,23.45269394
September,23.27217674
September,23.25744438
September,23.41809654
September,22.468153
September,22.83852386
September,23.29226685
September,22.77645111
September,23.11139297
September,23.32420158
September,22.85346985
September,23.08153152
September,22.66962433
September,23.33893394
September,22.86097908
September,23.23272133
September,23.41779518
September,23.15084267
September,23.15366745
September,22.80399513
September,23.20293808
